hash;problem;result;/raid/iser/log-glucose4/;/raid/iser/log-candy-halloween;/raid/iser/log-candy-halloween-lrb;/raid/iser/log-candy-deepfish;/raid/iser/log-candy-deepfish-lrb;/raid/iser/log-candy-jesus;/raid/iser/log-candy-buddha;/raid/iser/log-candy-buddha-no-sort-watches;/raid/iser/log-candy-adam;/raid/iser/log-candy-eva;/raid/iser/log-candy-eva-ts-ca;/raid/iser/log-candy-eva-ts-ca-pr;/raid/iser/log-candy-cain;/raid/iser/log-candy-cain-ts-ca;/raid/iser/log-horde-c2;/raid/iser/log-horde-c2-d0-e1
6f3d16c8157e99196fa60a2c6f497313;uniqinv46prop.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
601ada521e63cb0746eacc4374b7a844;CNP-5-700.cnf;SAT;5000;5000;312;5000;352;2896;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
b9d6c0a9a614709dc50fbd405cd5284a;pals_lcr.8_overflow_false-unreach-call.ufo.UNBOUNDED.pals.c.cnf;UNSAT;439;1809;5000;1607;5000;1926;2081;1619;2034;1712;1417;2583;1726;1641;1198;-1
2be9f9ecc6cf43e0cdc366b850e4a82d;courses_flat_0.16_2017_9.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
7a9fc81430f3d358d0f939deeeff0031;ex009_10.cnf;SAT;5000;5000;1546;5000;1299;5000;5000;5000;5000;5000;5000;5000;5000;5000;1413;-1
be392192b3724bafa4b969e194904250;commutativity.c.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
f9cdc5114ba2ec92c395fe61a99a2358;sted1_0x0-330.cnf;SAT;295;430;2557;454;2512;408;471;406;437;439;399;1095;427;438;450;-1
eec1888a4e1405d1f6af51fd67da1d45;cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf;SAT;290;212;70;183;73;234;62;135;63;75;121;250;79;131;34;34
536a1efce125b9425c8f2137ad0e872a;ae_rphp035_05.cnf;UNSAT;4764;4304;5000;4267;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
838aeae6c5dda5a1fb8de2efe6e561d4;satcoin-genesis-SAT-9.cnf;SAT;5000;5;5;5;5;4;5;5;4;4;4;5000;4;4;6;-1
721e91b83eca30cc9e317b376550a246;1mod8.rules.7-7.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
504a8c7ec61988fe814bde2cfb0f38a0;bx-d-4-7-6.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
fcd9047dcfe937344ac8defab401e403;T92.2.0.cnf;UNSAT;1205;4825;5000;3840;5000;3916;4050;3887;4065;3673;3514;1169;3687;4170;1858;-1
34fdb0c88bb9ae4492a7e5c58a150415;course_flat_0.12_2018_3_3.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
c0e10da46420f0ee7a888da403e7addd;exams_flat_0.04_2017_9.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
c8db5d425b1b4804762678180a5e523f;T93.2.0.cnf;UNSAT;2719;5000;5000;4184;5000;4014;4224;3809;4216;3645;4027;3573;3603;4523;5000;-1
bad2bf11fa617df939bdfb39ed9d4073;pals_floodmax.5_overflow_false-unreach-call.ufo.UNBOUNDED.pals.c.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
8465b5e735add8f3eb8656648a6bacb4;ex145_11.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
c80506cca20c3bb485674ddcc6c8324d;ex039_33.cnf;SAT;5000;5000;5000;5000;5000;5000;5000;1173;5000;5000;1720;5000;5000;1899;5000;-1
dc9cbc7b749bc664fdb33b2b8e196308;apn-sbox5-cut4-symmbreak.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
6d64faf50318e46583350bdcb0922a3f;mchess_18.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
22e8e7b22726491da8f733137216253b;T87.2.0.cnf;UNSAT;1007;5000;5000;4013;5000;4125;3999;3858;4123;3974;3963;1857;4050;4232;1270;-1
0c04cbca2bdd8cfe907f8819418ee329;Problem14_label20_true-unreach-call.c.cnf;UNSAT;6;4281;4085;3559;3620;3631;3324;3452;3666;3418;3419;32;3460;3966;37;-1
49f51ab495bb28eba9b0e1a9fffa0fc9;bibd-16-80-15-3-2_glb.cnf;SAT;77;248;64;236;57;76;574;359;598;153;316;224;144;340;18;-1
5fbf7e69778c2a19effa2724f5895577;a_rphp056_05.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
25fe16402d15c9e2daf1dcdb4aaa6586;bibd-8-70-35-4-15_glb.cnf;SAT;73;32;49;29;46;23;53;94;49;26;13;86;29;15;73;-1
bff20092b17d111605489af66cc10d32;Nb52T6.cnf;UNSAT;4470;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
ae4a29a594f32ffa1acbd0851b445d29;TimetableCNFEncoding_16_UNKNOWN.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
c09807571c3871064419e43abd70f7ad;ex187_10.cnf;SAT;2788;5000;5000;5000;5000;5000;5000;3154;5000;5000;5000;5000;5000;5000;1392;-1
14944be6155e8d724ecfdb2aa86b58e4;20180321_110707239_p_cnf_320_1120.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
6b08a0cd7c584ddb28971a9b90f22d8f;sqrt_ineq_3.c.cnf;SAT;3207;5000;5000;5000;5000;410;5000;45;5000;1850;5000;5000;1667;5000;12;-1
c5ab13b4c1ecc02c9a6f4c05848d1bd6;course_flat_0.12_2018_3_1.cnf;SAT;1262;5000;5000;5000;5000;5000;3148;5000;3110;5000;5000;5000;5000;5000;5000;-1
4ef63651847c75584f3b834bac68e370;gto_p60c233.cnf;UNSAT;723;266;692;274;712;420;303;340;311;286;239;384;277;251;253;-1
f94da3459548c5abbbc2f60bf4da7b26;sted5_0x1e3-60.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
8f6b38a084b11a6dc0c8cecbea7dda21;apn-sbox6-cut3-helpbox28.cnf;SAT;235;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
dc386063a5763eda788ec44c97b91f29;T116.2.0.cnf;UNSAT;395;4093;5000;3054;5000;3473;3605;3282;3494;3865;3189;1017;4017;3806;798;-1
6e910a1eabb6a4565b0bb625397748e3;course_flat_0.12_2018_3_5.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
12d81a9e0248f63602653f79f4e24e0e;Nb49T6.cnf;UNSAT;3499;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
0ef48ecc798f4ddb2e40337e1f112d59;8-5-6.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
e66dd6a47c11d4e0d1b735f41b3a320e;ex145_10.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
d22857b3c48e11984d05f3412bd48506;exam_flat_0.04_2018_3.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
12a047aefc53f03b5d3fd15adcd65e0f;udiv47prop.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
b581270a54e390398d4e42e056d8dd92;gto_p50c314.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
0a6208bbb62e212e510fa00888811b3a;Cake_9_19.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
6c5eaa0dbcd8cfae7a814cca8e3595b8;TimetableCNFEncoding_2_UNKNOWN.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
9cd520f6e1cfc77a0bfc115ad529c778;sqrt_ineq_2.c.cnf;SAT;316;645;99;550;90;569;184;160;203;269;502;5000;308;546;6;-1
6790a5fbfdd89ef10e30fc540ded83b1;gto_p60c295.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
03f588049e2ce8cfd5ac013c1cebecbe;apn-sbox6-cut5-helpbox28.cnf;SAT;5000;5000;5000;5000;5000;5000;5000;5000;5000;4313;5000;5000;4410;5000;5000;-1
40133bc28f35c9a6b2984cc218e0530b;mchess_19.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
18ae89c74ef5a4f5d2fd9fbf589ef258;CNP-5-1600.cnf;SAT;928;5000;1856;5000;1865;768;5000;5000;5000;5000;5000;5000;5000;5000;1246;952
c7f7cbcf1149650972b52171d9b41959;T84.2.0.cnf;UNSAT;1956;4952;5000;3706;5000;3636;4063;3710;4186;3426;4365;1821;3505;5000;1419;-1
b5d2fd2531106c2ef175fba78d7f0a55;sdiv16prop.cnf;UNSAT;1959;4826;5000;4750;5000;4121;4321;4211;4322;4396;5000;5000;4297;5000;5000;-1
e2f8ce03d5154510ef4ec61c9de5fb21;uniqinv47prop.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
d73355f4f4171991d5707ab6523146aa;gto_p50c311.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
b72fbf630d6e90dd0c90981daa51d044;cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf;SAT;472;354;164;327;135;725;691;558;621;399;509;1083;396;573;83;-1
611feb80ad904fc185cad9095b625714;ecarev-110-1031-23-40-7.cnf;SAT;295;624;5000;579;5000;678;664;651;668;492;527;1158;489;618;634;-1
006b1b942c3d4a6220022272bc2f1701;gto_p60c343.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
589e3968a79ead29d0b726ac73dc276e;gto_p60c231_1.cnf;UNSAT;241;298;525;311;532;273;146;246;150;140;233;449;145;241;293;-1
8345a570892be31801432f1ae053a56f;8-4-8.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
996faec6382371f546cf764d1282ec14;queen8_8.col.9.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
4cc2bed4c3dbd9d32364216ba0573771;mchess_20.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
b9ef731c06ced29111a551384ce228d1;full-by-za.rules.5-7.cnf;SAT;5000;2186;5000;1922;5000;5000;4730;5000;4886;2348;1759;5000;2625;1881;5000;-1
685c267401e45280a5d0c969c3eb197e;TimetableCNFEncoding_5_UNKNOWN.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
adcfdccdbe4cd477134aa2b65f5ac8c7;CNP-5-900.cnf;SAT;2385;5000;3699;5000;3605;5000;5000;5000;5000;5000;5000;5000;5000;5000;1316;293
8e2662d8f02ce2cc77a927349da4233c;ex065_25.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
ab0d8345affb4314cd832639269704ce;ex045_7.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
038b5f7e9397c53a031c07a8fa00eaaa;ae_rphp056_05.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
4a65c9bed5883d2fc037691da2adc24d;CNP-5-1000.cnf;SAT;5000;5000;1599;5000;1537;5000;5000;5000;5000;5000;5000;5000;5000;5000;1717;-1
114298cb5c2b3de22811299b3d5e98c3;school1.col.14.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
e97d8bfcb17e22bc35d4ef605f379fc1;sted1_0x1e3-300.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
d9618a00441118cdf561a9fb747e63df;cms-scheel-md5-families-r24-c5-p2-7-8-15-19.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
8b847ba297374d07ae8274176df6f09f;a_rphp055_04.cnf;UNSAT;334;647;5000;635;5000;636;724;788;738;790;765;1621;774;813;685;-1
887c07d9c5add297c29f68b15151144d;cms-scheel-md5-families-r24-c8-p0-3-5-6-14-16-18-19.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
357de02ed3f7cefc7c6aea5b14843075;queen12_12.col.12.cnf;UNSAT;4075;1313;478;1353;478;759;1411;1863;1356;1493;1979;3027;1476;1988;772;-1
f6f5620ec0fd7dae3d741e781e31998d;apn-sbox6-cut3-helpbox31.cnf;SAT;140;4859;5000;4225;5000;4273;5000;5000;5000;3863;5000;752;3806;5000;5000;-1
024a7b96b6ae0e168092758473ab55f8;apn-sbox6-cut3-helpbox23.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
f31d6a1761acdf1fdf73fcd886df7646;avg_true-unreach-call.i.cnf;UNSAT;766;751;5000;726;5000;817;864;805;848;771;847;1432;770;941;761;-1
affe2c940a10f8086b838ce4a9c0573c;satcoin-genesis-SAT-8.cnf;SAT;5000;5;6;5;5;5;5;5;5;5;5;5000;5;5;7;-1
1a723d2da57593d16d8e84c44a2b9275;T56.2.0.cnf;UNSAT;1103;4564;5000;3548;5000;3668;3450;3456;3612;3732;3305;1828;3326;3898;1296;-1
7a0ee451a75580c12db336e7ea74e1d8;Nb44T6.cnf;UNSAT;3919;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
871e22565af8acbc65aae9248c73402c;Nb11T118.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
5f1db9e99ee20282858b899f7a509966;frb35-17-5-mgd_ext.cnf;SAT;176;224;198;240;211;244;258;244;237;236;2;160;240;2;288;-1
5378ff3fe9756596f723ec5453c2bbc9;mchess_16.cnf;UNSAT;2801;5000;5000;5000;5000;1994;3619;2250;3562;3634;3174;5000;3933;3329;995;-1
e2709929b4a14cbf233f9085f58d6570;dist10.c.cnf;UNSAT;359;474;1775;461;1691;519;405;514;399;458;367;1466;391;365;688;-1
8e2946b60655ca83d3ef60bd803f6eea;9-4-10.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
a898dc51b0968220bd985f758d2c466c;ramsey-30-4.cnf;SAT;84;5000;2004;5000;1852;5000;5000;5000;5000;5000;5000;5000;5000;5000;2140;-1
0923acb0be7100dd28f664025bddd60f;sdiv40prop.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
f05b6244cec265f2aa9e4021d35f875d;CNP-5-1300.cnf;SAT;3176;5000;381;5000;361;5000;5000;1386;5000;5000;5000;5000;5000;5000;212;-1
6fee6b208aa31e82d08c8119e3988a72;queen8_12.col.12.cnf;UNSAT;3629;807;2713;813;2689;1498;1405;952;1575;1054;849;4420;1066;898;1345;-1
8b899edb155a1e93f104a116d5bab003;mchess_17.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
f3bacbd4c8d33387f373c6f572f03452;sted5_0x0-40.cnf;SAT;12;9;3;9;3;3;2;8;2;2;2;28;2;2;3;-1
a3ccd696d784d7f7d254d3d272f92248;e_rphp056_05.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
d117102ff9a7cded02c3668c142fc53c;CNP-5-400.cnf;SAT;5000;5000;4849;5000;4828;5000;5000;5000;5000;5000;5000;5000;5000;5000;1965;-1
f3be17e4f5c4b829fd308ac6c22c7c3f;Problem14_label14_false-unreach-call.c.cnf;SAT;337;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;619;5000;5000;558;-1
f8aae57c4979cb21722b9ad4f30407f7;gto_p50c345_1.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
